The avialable flights with mileage
"Flight option 1: Departing George Bush Intercontinental Airport
01
A380
EK212
B777
EK404
IAH
19:55
SIN
08:50 +2
23 hrs 55 mins
1 connection

Economy
from 42,500 Miles +
USD 311.60
Lowest price
Insufficient Miles

Business
from 167,500 Miles +
USD 1,254.60
Insufficient Miles"
"Flight option 2: Departing George Bush Intercontinental Airport
02
A380
EK212
B777
EK348
IAH
19:55
SIN
14:05 +2
29 hrs 10 mins
1 connection

Economy
from 42,500 Miles +
USD 311.60
Lowest price
Insufficient Miles

Business
from 167,500 Miles +
USD 1,254.60
Insufficient Miles"
"Flight option 3: Departing George Bush Intercontinental Airport
03
A380
EK212
A380
EK354
IAH
19:55
SIN
15:00 +2
30 hrs 5 mins
1 connection

Economy
from 42,500 Miles +
USD 311.60
Lowest price
Insufficient Miles

Business
from 167,500 Miles +
USD 1,254.60
Insufficient Miles"
"Flight option 4: Departing George Bush Intercontinental Airport
04
A380
EK212
A380
EK352
IAH
19:55
SIN
21:45 +2
36 hrs 50 mins
1 connection

Economy
from 42,500 Miles +
USD 311.60
Lowest price
Insufficient Miles

Business
from 167,500 Miles +
USD 1,254.60
Insufficient Miles"
